REGION,YEAR,week,UNWEIGHTED ILI
Illinois,2017,39,1.17861
Illinois,2017,40,1.18308
Illinois,2017,41,1.27165
Illinois,2017,42,1.00391
Illinois,2017,43,1.13777
Illinois,2017,44,1.1868
Illinois,2017,45,1.35089
Illinois,2017,46,1.29322
Illinois,2017,47,1.55901
Illinois,2017,48,1.85926
Illinois,2017,49,1.99942
Illinois,2017,50,2.99869
Illinois,2017,51,4.1977
Illinois,2017,52,6.44354
Illinois,2018,1,5.85488
Illinois,2018,2,5.18915
Illinois,2018,3,5.22717
Illinois,2018,4,5.03066
Illinois,2018,5,5.86283
Illinois,2018,6,5.58535
Illinois,2018,7,4.94075
Illinois,2018,8,4.00358
Illinois,2018,9,2.72481
Illinois,2018,10,2.30377
Illinois,2018,11,2.31579
Illinois,2018,12,2.21298
Illinois,2018,13,2.18952
Illinois,2018,14,1.76083
Illinois,2018,15,1.54427
Illinois,2018,16,1.17982
Illinois,2018,17,1.2719
Illinois,2018,18,1.03102
Illinois,2018,19,0.98153
Illinois,2018,20,0.90539
Illinois,2018,21,0.951539
Illinois,2018,22,0.909843
Illinois,2018,23,0.641356
Illinois,2018,24,0.604413
Illinois,2018,25,0.72805
Illinois,2018,26,0.643269
Illinois,2018,27,0.738426
Illinois,2018,28,0.69657
Illinois,2018,29,0.590593
Illinois,2018,30,0.458395
Illinois,2018,31,0.506873
Illinois,2018,32,0.441259
Illinois,2018,33,0.475835
Illinois,2018,34,0.512276
Illinois,2018,35,0.713604
Illinois,2018,36,0.740824
Illinois,2018,37,0.74665
Illinois,2018,38,0.855642
Illinois,2018,39,0.743332
Illinois,2018,40,0.791928
Illinois,2018,41,1.00549
Illinois,2018,42,1.0392
Illinois,2018,43,1.16002
Illinois,2018,44,1.30508
Illinois,2018,45,1.25819
Illinois,2018,46,1.37384
Illinois,2018,47,1.55275
Illinois,2018,48,1.44399
Illinois,2018,49,1.5422
Illinois,2018,50,1.68249
Illinois,2018,51,2.09465
Illinois,2018,52,3.33358
Illinois,2019,1,2.92991
Illinois,2019,2,2.18342
Illinois,2019,3,2.16887
Illinois,2019,4,2.24184
Illinois,2019,5,2.94723
Illinois,2019,6,2.3336
Illinois,2019,7,2.7887
Illinois,2019,8,3.16291
Illinois,2019,9,3.17846
Illinois,2019,10,3.29914
Illinois,2019,11,3.6678
Illinois,2019,12,3.12172
Illinois,2019,13,2.53223
Illinois,2019,14,2.14498
Illinois,2019,15,2.01384
Illinois,2019,16,1.52357
Illinois,2019,17,1.30153
Illinois,2019,18,1.21592
Illinois,2019,19,1.05872
Illinois,2019,20,1.04839
Illinois,2019,21,0.971741
Illinois,2019,22,0.917311
Illinois,2019,23,0.811217
Illinois,2019,24,0.715432
Illinois,2019,25,0.573178
Illinois,2019,26,0.758469
Illinois,2019,27,0.665734
Illinois,2019,28,0.574171
Illinois,2019,29,0.519296
Illinois,2019,30,0.57845
Illinois,2019,31,0.566718
Illinois,2019,32,0.582779
Illinois,2019,33,0.476331
Illinois,2019,34,0.455941
Illinois,2019,35,0.509933
Illinois,2019,36,0.777949
Illinois,2019,37,1.03505
Illinois,2019,38,0.805274
Illinois,2019,39,1.05733
Illinois,2019,40,1.41375
Illinois,2019,41,1.63321
Illinois,2019,42,1.744
Illinois,2019,43,1.90258
Illinois,2019,44,1.8228
Illinois,2019,45,1.86122
Illinois,2019,46,2.00902
Illinois,2019,47,2.11537
Illinois,2019,48,2.55489
Illinois,2019,49,2.59479
Illinois,2019,50,3.17378
Illinois,2019,51,3.81401
Illinois,2019,52,5.82377
Illinois,2020,1,5.03374
Illinois,2020,2,4.3258
Illinois,2020,3,4.51551
Illinois,2020,4,5.51717
Illinois,2020,5,6.72126
Illinois,2020,6,7.402
Illinois,2020,7,6.63845
